,Publisher
283,Adams Publishing
284,Adams-Blake Publishing
285,Adams-Hall Pub
286,Addax Publishing Group
287,Addenda
288,Addicus Books
289,Addison Books
290,Addison Wesley
291,Addison Wesley Higher Education (a Pearson Education company)
292,Addison Wesley Longman
293,"Addison Wesley Longman (Higher Education Division, Pearson Education)"
294,Addison Wesley Longman ELT Division (a Pearson Education company)
295,Addison Wesley Pub Ltd
296,Addison Wesley Pub. Co
297,Addison Wesley Publishing Company
298,Addison-Wesley
299,Addison-Wesley Educational Publishers
300,Addison-Wesley Professional
301,Addison-Wesley Pub Co
302,Addison-Wesley Pub Co (C)
303,Addison-Wesley Pub Co (Sd)
304,Addison-Wesley Pub. Co
305,Addison-wesley
306,Adelphi
307,Adelphi Book Shop Ltd
308,Adept
309,Adler's Foreign Books Inc
310,Adnkronos libri
311,Adobe Press
312,Adp
313,Adrenaline Audiobooks
314,Adrenaline Books
315,Adroit Press
316,Adv Films - ADV MANGA
317,Advaita Pr
318,Advaita Press
319,Advance Pub
320,Advance Pub Llc
321,Advance Publishers Inc
322,Advance Publishers LLC
323,"Advance Publishers, L.C."
324,"Advance Publishing, Inc"
325,Advancebooks
326,Advanced Neuro Dynamics
327,Advanced Research Press
328,Advanced Vivarium Systems
329,Advancement of Teaching
330,Advantage
331,Advantage Books
332,Advantage Pub+group
333,Advantage Publishers Group
334,Adventist Book Center New Jersey
335,Adventure Guides Trade Distr Stockbridge Mass
336,Adventure Imports
337,Adventure Library
338,Adventure Publications
339,Adventure Pubns
340,Adventurelore Press
341,Adventures Into Time
342,Adventures Pub
343,Adventures Unlimited Press
344,"Adverbage, Ltd."
345,Advice Press
346,Advocacy Press
347,Advocado Press
348,Advocate Books
349,Ae Books
350,Aegina Pr
351,"Aegina Press, Inc."
352,Aeonian Press
353,Aerial Photography Serv
354,Aerie
355,Aero Publishers
356,Affholderbach  Strohmann
357,Affiliated Writers of America
358,Africa World Press
359,African American Images
360,African World Info/Systems
361,Afrikan World Infosystems
362,Afro Hispanic Inst
363,Agata
364,Agate
365,Agatha Christie Limited
366,"Age Concern Books, Age Concern England"
367,Age d'homme
368,Ageless Pr
369,Agency for Instructional Technology
370,Aglow
371,Aglow Publications
372,Aglow Pubns
373,Agora Health Books
374,Agreka Tm Llc
375,Aguabonita Books
376,Aguilar
377,Aguilar Aguilar
378,Aguilar Altea Taurus Alfaguara S.A.
379,Aguilar S.A. de Ediciones-Grupo Santillana
380,Aguilar Taurus Altea Alfaguara
381,"Aguilar, Altea, Taurus, Alfaguara, S.A. de C."
382,Aha Books
383,Ahrens Pub. Co
384,Aidan Ellis Publishing
385,Aidc
386,Aim High Publishing
387,Aims Intl Books
388,Aims Intl Books Corp
389,Air Age
390,Air Pilot Publishing Ltd
391,Air USA Inc
392,Aird Books
393,Airguide Pubns
394,"Airlife Publishing, Ltd."
395,Airmont Pub Co
396,Aivia Press
397,Ajuntament d'Amposta
398,Ajuntament de Lleida
399,Akadine Press
400,Akal
401,Akal Ediciones
402,Akanos
403,Akashic Books
404,Akirim Press
405,Akron Art Museum
406,Al Cobb
407,"Al-Anon Family Group Headquarters, Inc."
408,Al-Risala
409,Al-Walaa Publications
410,Alabaster
411,Aladdin
412,Aladdin Books
413,Aladdin Library
414,Aladdin Paperbacks
415,Aladdin Publishing Company
416,Alaf 21
417,Alamo Square Distributors
418,Alamo Square Pr
419,Alamos Historical Society
420,Alan C Hood  Co
421,Alan C. Hood  Company
422,Alan Cohen Publications
423,Alan Richards Co
424,Alan Sutton Publ Ltd
425,"Alan Sutton Publishing, Ltd."
426,Alanna Nash
427,Alaska Geographic Society
428,Alaska Native Language Center
429,Alaska Northwest Books
430,Alaska Pacific Univ Pr
431,Alaska Publishing Properties
432,Alastair Sawday Publishing
433,Alba
434,Alba Editorial
435,Alba House
436,Albatross Books
437,Albatross Books Pty Ltd
438,Albert Britnell Book Shop
439,Albert RenÃ?Â©
440,Albert Whitman  Co
441,Albert Whitman  Company
442,Alberta Teachers' Association
443,Albia
444,Albicaulis Press
445,Albin Michel
446,Albion Press (MO)
447,Albouraq
448,Albury Publishing
449,Alchemical Press
450,"Alchemy Communications Group, Limited"
451,Alcoholics Anonymous World
452,Alcoholics Anonymous World Services
453,Alcoholics Anonymous World services
454,Aldine de Gruyter
455,Aldus Books : distributed by Jupiter Books
456,Alemany Press
457,Alembic Pr
458,Alex m Yudkin Assoc
459,Alexander  Fraser Inc
460,Alexander Books
461,Alexandria Publishing
462,Alfaguara
463,"Alfaguara Ediciones, S.A. (Spain)"
464,Alfaguara Infantil
465,Alfaguara/Santillana Ediciones Generales
466,Alfaguara/Santillana USA
467,Alfranpedoc Publishing
468,Alfred A Knopf Inc
469,Alfred A. Knopf
470,Alfred E Knopf
471,Alfred Pub Co
472,Alfred Publishing Company
473,Alfred a. Knopf
474,Alfred van der Marck Editions
475,Algaida
476,Algonquin Books
477,Algonquin Books Of Chapel Hill
478,Algonquin Books of Chapel Hill
479,Algonquin Press
480,Algora Publishing
481,Algotext Pub
482,Alhambra
483,Alianza
484,Alianza Editorial
485,"Alianza Editorial, S.A."
486,Alianza/Hernando
487,Alice James Books
488,Alice Street Editions
489,Alien Perspective
490,Alif Pub Corp
491,Aliform Pub
492,Alistair Press (IN)
493,Alive Books
494,Alk
495,Alkyon-Verlag
496,All About Kids Pub
497,All about Kids Publishing
498,Allan
499,Allcat Pr
500,Allegro Press
501,Allen
502,Allen  Unwin
503,Allen  Unwin (Australia) Pty Ltd
504,Allen  Unwin ; distributed by Books Reps ( New Zealand)
505,Allen  Unwin Australia
506,Allen  Unwin Pty Ltd
507,"Allen  Unwin Pty., Limited (Australia)"
508,Allen  Unwin children's books
509,Allen A. Knoll Publishers
510,Allen D. Bragdon Pub.
511,"Allen D. Bragdon Publishers, Inc."
512,Allen Lane
513,Allen Lane : Collings
514,"Allen Publishing, USA, Inc."
515,Allen Unwin Australia
516,Allen and Unwin
517,Allergy Publications
518,Allia
519,Alliance House Inc
520,Alliance Press
521,Alliance for Committed Civic Engagement  Social Solutions (ACCESS)
522,Allied Books Ltd
523,Allied Mouse
524,Alligator Press
525,Allison  Busby
526,Allison  Busby Ltd
527,Allison Busby
528,Alloybooks
529,Alluvium Books
530,Allworth Press
531,Ally Pr
532,Allyn  Bacon
533,Allyn and Bacon
534,Alma Publications
535,Almar Press
536,Almarabu
537,Alpenbooks
538,Alpha
539,Alpha Book Dist
540,Alpha Books
541,Alpha Communications
542,Alpha Omega Dental Fraternity
543,Alpha Pub Inc
544,Alpha Publishing Company (KY)
545,"Alpine Publications, Inc."
546,Alpine Pubns
547,Alta Films Press
548,Altamira
549,Altamira Press
550,Altaya
551,Altberliner Verlag
552,Altera
553,Alternate Sources
554,Alternative Comics
555,Alternativemedicine.com Books
556,Alternatives
557,Altheus Pr
558,Alti Publishing
559,Altitude Pub Canada Ltd
560,Altitude Publishing Canada
561,Altitude Publishing Ltd
562,Altruria Publishing Company
563,Alvarellos
564,Alyson Books
565,Alyson Publications
566,Alyson Pubns
567,Alyson Wonderland
568,AmErica House Book Publishers
569,Amacom
570,Amacom Books
571,Amadeus
572,Amadon Publishing
573,Amador Publishers
574,Amalthea
575,Amana Books
576,Amana Publications
577,Amarta Pr
578,Amaru
579,Amat Editorial
580,Amazon Press
581,"Ambassador Productions, Ltd."
582,Ambassador-Emerald International
583,Amber Allen
584,Amber Books
585,Amber Lane Press
586,Amber Lotus
587,Amber Quill Press
588,"Amber Quill Press, LLC"
589,"Amber Quill Press, LLC."
590,Amber-Allen Publishing
591,Amberco Press
592,"Amberlin Group, LLC"
593,Amberwood Publishing Limited
594,Ambo
595,Amco Press
596,Amecus Street
597,Ameera Publishing
598,Ameghino
599,Amer Acad of Arts  Sciences
600,Amer Anti-Vivisection Society
601,Amer Assn for Medical transcription
602,Amer Assn of Individual Investors
603,Amer Audio Prose Library
604,Amer Automobile Assn
605,Amer Book Pub
606,Amer Cancer Society
607,Amer College of Obstetricians &amp;
608,Amer Cooking Guild
609,Amer Dietetic Assn
610,Amer Education Pub
611,Amer Educational Trust
612,Amer Federation of Astrologers
613,Amer Guidance Service
614,Amer Hottieologists Assn
615,Amer Inst of Chemical Engineers
616,Amer Management Assn
617,Amer Mathematical Society
618,Amer Opinion Book Services
619,Amer Philosophical Society
620,Amer Physical Therapy Assn
621,Amer Psychiatric Pr
622,Amer Psychiatric Pub
623,Amer Psychological Assn
624,Amer Radio Relay League
625,Amer Red Cross
626,Amer Reference Pub Co
627,Amer Society for Microbiology
628,Amer Technical Pub
629,Amer Univ in Cairo Pr
630,Amereon Limited
631,Amereon Ltd
632,Amerian Cancer Society
633,America's Test Kitchen
634,American Academy of Pediatrics
635,American Alpine Club
636,American Atheist Press
637,American Audio Prose Library
638,American Automobile Association
639,American Bible Society
640,American Bike Trails
641,American Birding Association
642,American Book Publishing Group
643,American Business Visions
644,American Cancer Society
645,American Ceramic Society
646,American College of Obstetricians  Gynecolog
647,American Cooking Guild
648,American Correctional Association
649,American Council on Education/Oryx Press
650,American Diabetes Association
651,American Eagle Publications
652,American Education Publishing
653,American Enterprise Institute Press
654,American Evangelistic Association
655,American Express Food  Wine Magazine Corpora
656,American Fantasy
657,American Federation of Astrologers
658,American Financial Press
659,American Foundation for AIDS Alternatives
660,American Girl
661,American Guidance Service
662,American Health Press
663,American Heart Association
664,American Heritage Press
665,American Heritage Pub. Co.; distribution by McGraw-Hill
666,American History Research Associates
667,American Institute for Cancer Research
668,American Institute of Excellence
669,American Institute of Physics
670,"American Interface Corporation, Publishing Division"
671,American Legacy Press
672,American Liberty Publishers
673,American Library Association
674,American Literary Press
675,American Management Association
676,American Map Corporation
677,American Muslim Foundation
678,American Philological Association
679,American Photographic Book Pub. Co
680,American Planning Association
681,American Psychiatric Association
682,American Psychiatric Press
683,American Psychological Association (APA)
684,American Publishing Corp.
685,American Quilter's Society
686,American Radio Relay League
687,American Red Cross
688,American School of Needlework
689,American Self-Help Group Clearinghouse
690,American Showcase
691,American Society of Civil Engineers
692,American Society of Planning Officials
693,American Success Institute
694,American Technical Publishers
695,American Trust Publications
696,American University in Cairo Press
697,American Value Tales
698,Americana Pub Inc
699,Americana Publishing
700,Americana Souvenirs  Gifts
701,Americas Natl Parks
702,"Amerisearch, Inc."
703,Amerotica
704,Amethyst Books
705,Amherst H Wilder Foundation
706,Amherst Press (WI)
707,Amistad
708,Amistad Press
709,Amistad Press (HarperCollins)
710,Amity House
711,Amity Pub
712,Ammann
713,Amnesty Publishing
714,Amok Books
715,Amok Press
716,Amorc
717,Amp-Verlag
718,"Amped Radio, Inc., DBA Amped Media"
719,Amphoto
720,Amphoto Books
721,Ams Pr
722,Amsco Music
723,Amsco School Pubns Inc
724,An RGA Production
725,Anabasi
726,Anagrama
727,"Anagrama, Editorial S.A."
728,Anansi
729,Anatolian Treasures
730,Anaya
731,Anaya  Mario Muchnik
732,Anaya Multimedia
733,Anaya Publishers
734,Anaya Publishers Ltd
735,Ancestry.com
736,Anchor
737,Anchor (UK)
738,Anchor Bible
739,Anchor Bible Commentary
740,Anchor Books
741,Anchor Books/Doubleday
742,Anchor Canada
743,Anchor Distributors
744,Anchor Press
745,Anchor Press/Doubleday
746,Anchor Pub
747,Ancient City Press
748,Andersen Press
749,Anderson  Sons Pub Co
750,Anderson Publishing Company (OH)
751,Anderson World
752,Andor Pub Co
753,Andre Deutsch
754,Andre Deutsch Ltd
755,Andre and Lanier
756,Andres Bello
757,Andrew McDowall
758,Andrew Scott Publishers
759,Andrews  McMeel
760,Andrews McMeel Pub
761,Andrews McMeel Publishing
762,Andrews McMeel Publising
763,Andrews Mcmeel
764,Andrews Univ Pr
765,Andrews and McMeel
766,AndrÃ© Deutsch
767,Angel Books
768,Angel City Press
769,Angel Entertainmenet
770,Angel Fire Press
771,Angel Gate
772,Angel Sales
773,Angel's Work
774,Angela Royal Publishing
775,Anger Institute
776,Anglican Book Centre
777,Anglo-Saxon Books
778,Anglophone
779,Angsana Books
780,Angus  Robertson
781,Angus  Robertson Publishers
782,Angus and Robertson
783,Angus&amp;Robertson
784,Anhinga Pr
785,Anhinga Press
786,Anhinga Publishing
787,Animas Quilts Pub
788,Anita Roddick Books
789,Ann Arbor Media Group
790,Annapolis Pub.
791,Anne CarriÃ?Â¨re
792,Anne O'Connell
793,Anne Sloan
794,Anne-Marie MÃ?Â©tailiÃ?Â©
795,Anness Publ.- Hermes House
796,Anness Publishing
797,Annick Pr
798,Annick Press
799,Annie Lee Taylor Publications
800,Annie's Attic
801,Another Chicago Pr
802,Another Pair of Shoes Press
803,Ansata Verlag
804,Antarctic Press
805,Antares
806,Anthem
807,Anthem Press
808,Anthos
809,Anthropos Research  Publications
810,Anthroposophic Press
811,Antioch Pub. Co
812,Antioch Publishing Co
813,Antioch Publishing Company
814,Antique Collectors Club
815,Antique Collectors' Club
816,Antique Trader Books
817,Anton Publishing
818,Anton V. Publishing
819,Anubar
820,Anvil Books (Childrens Press)
821,Anvil Press
822,Anvil/PALH
823,Anything Books
824,Aperture
825,Aperture Book
826,Aperture Foundation Inc
827,Apex Press
828,Aphelion Publications
829,Apogee Books
830,Apollo Editions
831,Aporia Press
832,Apostrofe
833,Appalachian Mountain Club
834,Appalachian Mountain Club Books
835,Appalachian Trail Conference
836,Applause
837,Applause Books
838,Applause Theatre  Cinema Book Publishers
839,Applause Theatre  Cinema Books
840,"Applause, Inc."
841,Apple
842,Apple (Scholastic)
843,Apple Classics (Scholastic)
844,Apple Paperbacks (Scholastic)
845,Apple Press
846,"Apple Press, Incorporated"
847,Apple Publishing
848,Apple Signature (Scholastic)
849,Apple/Scholastic
850,Appledore Books
851,Apples  Oranges Inc.
852,Appleton  Lange
853,"Appleton, Crofts Century"
854,Appleton-Century-Crofts
855,Appleton-Century-Crofts and Fleschner Pub. Co
856,Appletree Press
857,Appletree Press (TX)
858,Appletree Press (UK)
859,Applewood Books
860,Apress
861,Apricot Press
862,Aqua Cultures
863,Aqua Explorers
864,Aqua Quest Publications
865,Aqua Quest Pubn
866,Aquamarine
867,Aquarian Press
868,Ara Llibres
869,Arabesque
870,Araluen Pr
871,Aramith
872,Arango Editores
873,Arani
874,Arani-Verlag
875,Arbeiderspers
876,Arbiter Press
877,Arbor House
878,Arbor House Pub Co
879,Arbor House Publishing
880,Arbor Studio Press
881,Arc Books
882,Arcade Books
883,Arcade Pub
884,Arcade Publishing
885,Arcadia
886,Arcadia Books
887,Arcadia Publishing
888,Arcane Books
889,Arch Books
890,Arch Cape Press
891,Arche
892,Arche Verlag
893,Archedigm Publications
894,Archipel
895,Archiv der Deutschen Jugendbewegung
896,Archive Press
897,Archstone Press
898,Archway
899,Archway Paperbacks
900,Archway Pr
901,Arclight Pub
902,Arco
903,Arco Pub
904,Arco Pub. Co
905,Arco Pub./F.C.I. Press
906,Arco/Thomson Learning
907,Arcturus Publishing
908,Arden
909,Arden Library
910,Arden Publishers
911,Arden Shakespeare
912,Ardent Media Inc
913,Ardis
914,Ardis Publishers
915,Are Pr
916,Area
917,Arena
918,Arena Editions
919,Arena Lettres
920,Arena Verlag GmbH
921,Arete
922,Arete Editora
923,Arete U S A Pub Co
924,Argon
925,Argon Verlag
926,Argonauta
927,Argos
928,Argos Vergara
929,Argument Verlag
930,Argus Communications
931,Argus Publishing
932,Arguval
933,Argyll Publishing
934,Ariadne Press
935,Ariadne Press (MD)
936,Ariel
937,Ariel Editorial
938,Ariel Pr
939,Ariel Press
940,Ariel Publications
941,Aries Rising Pr
942,Aris  Phillips
943,Aris Books
944,Arizona Center for Medieval and Renaissance S
945,Arizona Highways
946,Arizona Highways Books
947,Arizona-Sonora Desert Museum Pr
948,ArkHaven Publications
949,Arkana
950,Arkano Books
951,"Arkansas Arts Center, Decorative Arts Museum"
952,Arkham House Pub
953,Arkham House Publishers
954,Arlington Book Company
955,Arlington Books
956,Arlington House
957,Arlington House Publishers
958,Arlington House/Publishers
959,ArlÃ?Â©a
960,ArlÃ©a
961,Armadillo Books
962,Armand Colin
963,Armchair Detective Library
964,Armchair Press
965,Armitage House
966,Armstrong Pub. Co
967,Arner Pub.
968,Arno Press
969,Arno Press; distributed by Crown Publishers
970,Arnold
971,Arnold Publishers
972,Aro Books Inc.
973,Arowhena Pub. Co
974,Arpel Graphics
975,Arrow
976,Arrow (A Division of Random House Group)
977,Arrow Books
978,Arrow Books (A Division of Random House Group)
979,Arrow Books Ltd
980,Arrow Designs
981,Arrow Press
982,Arrow Publications
983,Arrowhead Press (AZ)
984,Arrowhead Pub.
985,Arroyo Press
986,Ars Boni et Aequi
987,Ars Edition
988,ArsDigita Press
989,Arsenal Pulp Press
990,Arsenale
991,Art Asylum
992,Art Books International
993,Art Books Intl Ltd
994,Art Data
995,Art Direction Book Company
996,Art Gallery of New South Wales
997,Art House
998,Art Inst of Chicago Museum Shop
999,"Art Media Resources, Ltd."
1000,Art-Works!
1001,Artabras Publishers
1002,Arte Publico Pr
1003,Arte Publico Press
1004,Artech House Publishers
1005,Artemis
1006,Artemis  Winkler
1007,Artemis-Edinter
1008,Artesian Press
1009,Arthritis Foundation
1010,Arthur A. Levine
1011,Arthur A. Levine Books
1012,Arthur Vanous Co
1013,Artisan
1014,Artisan Publishers
1015,Artist's and Photographers' Press
1016,Artists and Writers Press
1017,Artnik Books
1018,Artscroll
1019,Arx Pub.
1020,Arx Publishing
1021,ArÃ¨nes
1022,Ascension Press
1023,Aschehoug
1024,Aschendorff Verlag
1025,Asgard Pub Co
1026,Ash  Grant
1027,Ash Tree Publishing
1028,Ashford Press
1029,"Ashford, Buchan  Enright"
1030,Ashgate Pub Co
1031,Ashgate Publishing
1032,Ashgrove Publishing
1033,Ashland Hills Press
1034,Ashley Books
1035,Ashmolean Museum
1036,Ashton-Tate
1037,Asia Book Corporation Of
1038,Asia Books
1039,Asia Society
1040,Asian American Writers' Workshop
1041,Asian Art  Archaeology
1042,Asiapac Books
1043,Asini Pub
1044,Asini Publishing
1045,Askild  KÃ¤rnekull
1046,Aslan Pub
1047,Aslan Publishing
1048,Asn Pub
1049,Aspect
1050,Aspect Books
1051,Aspen Books
1052,Aspen Food Science
1053,Aspen Law  Business Publishers
1054,Aspen Light Publishing
1055,Aspen Pub
1056,Aspen Publishers
1057,"Aspen Publishers, Inc."
1058,Aspen Systems Corp
1059,Aspen West Publishing
1060,Aspire Publishing
1061,Assimil French
1062,"Assimil, Editions"
1063,Assn for Childhood Education Intl
1064,Assn for Public Transportation
1065,Assn for Supervision  Curriculum
1066,Associated Press
1067,Associated Pub Group
1068,Associated Publishers Group
1069,Associated Univ Pr
1070,"Associates in Medical Marketing Co., Inc."
1071,Association for Asian Studies
1072,Association for Research  Enlightenment
1073,Association for Supervision  Curriculum Deve
1074,Association for the Preservation of Virg
1075,"Association of Universal Philosophy, Inc."
1076,AssociaÃ§om Galego da Lingua
1077,Assocs for Youth Development
1078,Assouline
1079,AssÃ­rio  Alvim
1080,Astarte Shell Press
1081,Asterisk Publications
1082,Asterix
1083,Astor Books
1084,Astor Books Audio
1085,Astran
1086,Astran Inc
1087,Astro Communications Services
1088,Astro Computing Services
1089,Astro Room
1090,AstroArt Enterprises
1091,Astrolog Publishing House
1092,Asylum Arts
1093,At-Verlag
1094,Ata Books
1095,Atalante
1096,Atalaria Publishers
1097,Ateneo De Manila Univ Pr
1098,Athanor Books
1099,Athena Pr Pub Co
1100,Athena V Lord
1101,Athenaeum/Polak  Van Gennep
1102,Atheneum
1103,Atheneum Books
1104,Atheneum Books for Young Readers
1105,Atheneum Publishers
1106,Atheneum/Anne Schwartz Books
1107,Atheneum/Richard Jackson Books
1108,Athenum
1109,AthenÃ¤um
1110,AthenÃ¤um-Verlag
1111,Athlone Press
1112,Atlanta Freethought Society
1113,Atlantean Press
1114,Atlantic
1115,Atlantic Books
1116,Atlantic Bridge Publishing
1117,Atlantic Monthly Pr
1118,Atlantic Monthly Press
1119,Atlantic Pub Co
1120,Atlantic Transport Publishers
1121,Atlantida
1122,Atlantida Publishing
1123,Atlantik-Brucke
1124,Atlantis Press
1125,Atlas
1126,Atlas Games
1127,Atlas Press
1128,Atlasbooks Dist Serv
1129,Atmosphere Publishing
1130,Atomium Books
1131,Atrandom
1132,Atria
1133,Atria Books
1134,Atrium Publishers Group
1135,Attack International
1136,Attainment Co Inc
1137,Attic Pr
1138,Attic Press
1139,Au Diable Vauvert
1140,Au diable Vauvert
1141,Aubier
1142,Aubier Montaigne
1143,Auckland University Press
1144,Audenreed Press
1145,Audie
1146,Audio Craft Pr Inc
1147,Audio Craft Press
1148,Audio Entertainment
1149,Audio Literature
1150,Audio Partners
1151,Audio Playwrights
1152,Audio Press
1153,Audio Renaissance
1154,Audio Scholar
1155,Audio Scope
1156,Audio-Forum
1157,Audiolibros Del Mundo Inc
1158,Audioworks
1159,Auer
1160,Aufbau
1161,Aufbau Taschenbuch Verlag
1162,Aufbau Tb
1163,Aufbau-Taschenbuch-Verlag
1164,Aufbau-Verlag
1165,Aufbau-Verlag GmbH
1166,Augsburg
1167,Augsburg Fortress Pub
1168,Augsburg Fortress Publishers
1169,Augsburg Pub. House
1170,August House
1171,August House Pub
1172,August House Pub Inc
1173,August House Publishers
1174,August Pr
1175,Augustus Verlag
1176,"Augustus Vlg., Augsb."
1177,Augustus m Kelley Pubs
1178,Aula-Verlag
1179,Aulis Verlag Deubner
1180,Aum Publications
1181,Aunt Lute Books
